方法,最终准确率 (%),最佳准确率 (%),平均客户端准确率 (%),平均公平性方差,收敛轮次,收敛速度,平均训练损失,平均梯度范数
fedavg,98.52,98.58,94.33099999999999,14.333004000000003,3,0.030,0.009111385414635608,0.0
ditto,98.01,98.08,93.25140000000002,8.358996,4,0.040,0.051505149717331465,0.0
fedaddp,33.0,90.61,50.00899999999999,70.404956,32,0.320,0.7972843968458679,0.0
our_method_no_dp,98.13,98.16,93.85839999999999,11.561528000000001,3,0.030,0.009917349288586848,0.17692904981495897
our_method,96.66,96.67,87.54459999999997,17.550228,10,0.100,0.08514485944841738,2.8247078250010222
