方法,最终准确率 (%),最佳准确率 (%),平均客户端准确率 (%),平均公平性方差,收敛轮次,收敛速度,平均训练损失,平均梯度范数
our_method_full,9.36,10.36,9.672199999999998,1.5518520000000005,1,0.010,1.5422201750994253,2.7480765674072547
our_method_no_ala,96.22,96.23,86.9382,15.714036,10,0.100,0.09155204456542865,2.880355206184954
our_method_no_pseudo,9.58,10.18,9.562000000000001,1.8205920000000004,20,0.200,1.5917542833883145,2.5648396907046513
our_method_no_adaptive,9.75,16.73,12.230599999999997,3.58502,12,0.120,1.5671941383494143,2.616770836610164
our_method_no_dp,8.97,13.63,11.680399999999999,2.40352,21,0.210,0.6070984123912841,2.357976460818409
